Team,Points,Wins,pl_wins,Losses,Tie,sim
German,2040.32,12,12,3,0,54
Barrett,1902.18,12,11,3,0,54
Scott,2406.3,11,10,4,0,54
PFinn,1860.84,10,9,5,0,54
Brian,1695.26,7,6,8,0,54
David,1660.03,7,7,8,0,54
Diaz,1634.74,6,6,9,0,54
Eric,1555.97,5,4,10,0,54
Bobby,1731.69,3,3,12,0,54
Justin,1394.99,2,2,13,0,54
PFinn,1874.99,12,11,3,0,55
David,1760.6200000000001,12,11,3,0,55
Diaz,1752.26,9,8,6,0,55
Barrett,1737.41,9,9,6,0,55
Bobby,1711.3700000000001,7,6,8,0,55
Brian,1677.21,7,7,8,0,55
Eric,1547.81,5,5,10,0,55
Justin,1413.19,5,4,10,0,55
Scott,1396.56,5,5,10,0,55
German,1363.97,4,4,11,0,55
Scott,2111.94,13,12,2,0,56
Bobby,1967.79,11,10,4,0,56
PFinn,1953.82,10,10,5,0,56
German,1862.42,9,8,6,0,56
Barrett,1811.35,9,8,6,0,56
David,1613.49,9,9,6,0,56
Diaz,1582.26,6,6,9,0,56
Brian,1617.32,4,4,11,0,56
Eric,1454.57,3,3,12,0,56
Justin,1263.71,1,0,14,0,56
German,1863.22,11,10,4,0,57
PFinn,1875.24,10,10,5,0,57
Bobby,2043.17,9,8,6,0,57
Scott,1903.82,9,8,6,0,57
Barrett,1783.69,9,8,6,0,57
David,1656.61,9,9,6,0,57
Eric,1695.88,7,6,8,0,57
Diaz,1580.09,6,6,9,0,57
Brian,1598.91,3,3,12,0,57
Justin,1425.59,2,2,13,0,57
Barrett,1841.31,11,10,4,0,58
Eric,1659.59,10,9,5,0,58
PFinn,1987.65,9,8,6,0,58
Bobby,1859.44,9,8,6,0,58
German,1806.51,9,9,6,0,58
David,1618.96,8,8,7,0,58
Scott,1721.82,7,7,8,0,58
Brian,1747.53,6,6,9,0,58
Diaz,1461,6,5,9,0,58
Justin,1232.49,0,0,15,0,58
Barrett,1943.08,12,11,3,0,59
Scott,1919.46,10,9,5,0,59
German,1882.51,10,9,5,0,59
PFinn,1915.1499999999999,9,9,6,0,59
Eric,1805.55,9,8,6,0,59
Bobby,2056.14,8,8,7,0,59
David,1693.75,6,6,9,0,59
Diaz,1644.58,6,6,9,0,59
Brian,1638.5,5,4,10,0,59
Justin,1187.2,0,0,15,0,59
PFinn,1871.68,13,12,2,0,60
Bobby,1974.13,11,10,4,0,60
Barrett,1916.27,10,9,5,0,60
Scott,1802.86,9,8,6,0,60
David,1639.08,8,8,7,0,60
German,1706.9,7,7,8,0,60
Eric,1592.3600000000001,6,5,9,0,60
Brian,1700.04,5,5,10,0,60
Diaz,1555.93,5,5,10,0,60
Justin,1362.98,1,1,14,0,60
Scott,2038.8,12,11,3,0,61
Bobby,2000.42,12,11,3,0,61
Barrett,1786.93,9,9,6,0,61
David,1611.8,8,7,7,0,61
PFinn,1662.8799999999999,7,7,8,0,61
Diaz,1589.33,7,7,8,0,61
Brian,1569.1299999999999,6,6,9,0,61
German,1465.47,6,5,9,0,61
Justin,1441.68,5,4,10,0,61
Eric,1478.23,3,3,12,0,61
Scott,2188.14,13,12,2,0,62
Bobby,2096.7400000000002,11,10,4,0,62
German,1974.6,11,11,4,0,62
Barrett,1943.55,11,10,4,0,62
PFinn,1872.1299999999999,8,7,7,0,62
Brian,1674.3,6,6,9,0,62
David,1663.51,6,6,9,0,62
Diaz,1430.51,5,5,10,0,62
Eric,1510.5,4,3,11,0,62
Justin,1273.27,0,0,15,0,62
Scott,2260.35,13,12,2,0,63
Bobby,2040.8,12,11,3,0,63
David,1745.69,11,10,4,0,63
PFinn,1877.67,9,9,6,0,63
German,1719.72,7,6,8,0,63
Brian,1700.63,7,7,8,0,63
Justin,1439.65,5,4,10,0,63
Barrett,1628.7,4,4,11,0,63
Eric,1417.72,4,4,11,0,63
Diaz,1608.84,3,3,12,0,63
Scott,2172.59,12,11,3,0,64
PFinn,2012.36,11,10,4,0,64
Bobby,2005.24,9,8,6,0,64
German,1885.26,9,9,6,0,64
Barrett,1841.6100000000001,9,8,6,0,64
David,1795.2,8,8,7,0,64
Brian,1644.53,7,7,8,0,64
Diaz,1531.99,7,7,8,0,64
Eric,1506.36,2,1,13,0,64
Justin,1387.65,1,1,14,0,64
Scott,2014.01,11,10,4,0,65
German,2145.63,10,10,5,0,65
PFinn,1981.29,10,9,5,0,65
Bobby,1915.1100000000001,8,8,7,0,65
Barrett,1836.24,8,7,7,0,65
David,1737.14,8,8,7,0,65
Brian,1670.83,7,6,8,0,65
Eric,1568.82,6,5,9,0,65
Diaz,1540.09,6,6,9,0,65
Justin,1366.03,1,1,14,0,65
Bobby,2088.32,12,11,3,0,66
Scott,2012.13,12,11,3,0,66
PFinn,2008.6,11,10,4,0,66
